gageid,agency,domain
07337900,USGS,CONUS
07340300,USGS,CONUS
07342480,USGS,CONUS
07342500,USGS,CONUS
07346045,USGS,CONUS
07348700,USGS,CONUS
07351500,USGS,CONUS
07359610,USGS,CONUS
07360200,USGS,CONUS
07362100,USGS,CONUS
07362587,USGS,CONUS
07366200,USGS,CONUS
07372200,USGS,CONUS
07373000,USGS,CONUS
07375000,USGS,CONUS
07375800,USGS,CONUS
07376500,USGS,CONUS
07377000,USGS,CONUS
07378000,USGS,CONUS
08010000,USGS,CONUS
08013000,USGS,CONUS
08014500,USGS,CONUS
08017300,USGS,CONUS
08020700,USGS,CONUS
08023080,USGS,CONUS
08023400,USGS,CONUS
08025500,USGS,CONUS
08029500,USGS,CONUS
08031000,USGS,CONUS
08041500,USGS,CONUS
08041700,USGS,CONUS
08047500,USGS,CONUS
08049700,USGS,CONUS
08050800,USGS,CONUS
08050840,USGS,CONUS
08053500,USGS,CONUS
08057200,USGS,CONUS
08064100,USGS,CONUS
08065200,USGS,CONUS
08066200,USGS,CONUS
08066300,USGS,CONUS
08068325,USGS,CONUS
08068780,USGS,CONUS
08070000,USGS,CONUS
08070500,USGS,CONUS
08075000,USGS,CONUS
08079600,USGS,CONUS
08082700,USGS,CONUS
08086212,USGS,CONUS
08095300,USGS,CONUS
08099300,USGS,CONUS
08101000,USGS,CONUS
08103900,USGS,CONUS
0810464660,USGS,CONUS
08104900,USGS,CONUS
08109700,USGS,CONUS
08128400,USGS,CONUS
08130700,USGS,CONUS
08131400,USGS,CONUS
08133250,USGS,CONUS
08144500,USGS,CONUS
08150800,USGS,CONUS
08152900,USGS,CONUS
08154700,USGS,CONUS
08155200,USGS,CONUS
08158700,USGS,CONUS
08158810,USGS,CONUS
08158860,USGS,CONUS
08159000,USGS,CONUS
08164000,USGS,CONUS
08164300,USGS,CONUS
08164600,USGS,CONUS
08165300,USGS,CONUS
08165500,USGS,CONUS
08166000,USGS,CONUS
08171290,USGS,CONUS
08175000,USGS,CONUS
08176900,USGS,CONUS
08177300,USGS,CONUS
08178880,USGS,CONUS
08181480,USGS,CONUS
08186500,USGS,CONUS
08189200,USGS,CONUS
08189300,USGS,CONUS
08190000,USGS,CONUS
08190500,USGS,CONUS
08194200,USGS,CONUS
08195000,USGS,CONUS
08196000,USGS,CONUS
08198000,USGS,CONUS
08200000,USGS,CONUS
08200977,USGS,CONUS
08201500,USGS,CONUS
08202700,USGS,CONUS
08210400,USGS,CONUS
08212400,USGS,CONUS
08267500,USGS,CONUS
08269000,USGS,CONUS
08271000,USGS,CONUS
08277470,USGS,CONUS
08302500,USGS,CONUS
08315480,USGS,CONUS
08324000,USGS,CONUS
08340500,USGS,CONUS
08377900,USGS,CONUS
08380500,USGS,CONUS
08386505,USGS,CONUS
08400000,USGS,CONUS
08401200,USGS,CONUS
08405105,USGS,CONUS
08408500,USGS,CONUS
08447020,USGS,CONUS
09035900,USGS,CONUS
09050100,USGS,CONUS
09051050,USGS,CONUS
09059500,USGS,CONUS
09064600,USGS,CONUS
09065500,USGS,CONUS
09066000,USGS,CONUS
09081600,USGS,CONUS
09107000,USGS,CONUS
09112500,USGS,CONUS
09115500,USGS,CONUS
09124500,USGS,CONUS
09146020,USGS,CONUS
09183600,USGS,CONUS
09188500,USGS,CONUS
09196500,USGS,CONUS
09210500,USGS,CONUS
09217900,USGS,CONUS
09223000,USGS,CONUS
09238900,USGS,CONUS
09253000,USGS,CONUS
09258980,USGS,CONUS
09266500,USGS,CONUS
09292000,USGS,CONUS
09306242,USGS,CONUS
09310700,USGS,CONUS
09312600,USGS,CONUS
09329050,USGS,CONUS
09352900,USGS,CONUS
09359500,USGS,CONUS
09386900,USGS,CONUS
09399400,USGS,CONUS
09401110,USGS,CONUS
09404110,USGS,CONUS
09404208,USGS,CONUS
09404222,USGS,CONUS
09404343,USGS,CONUS
09404450,USGS,CONUS
09405500,USGS,CONUS
09408000,USGS,CONUS
09413900,USGS,CONUS
09424447,USGS,CONUS
09430500,USGS,CONUS
09430600,USGS,CONUS
09444200,USGS,CONUS
09447800,USGS,CONUS
09470750,USGS,CONUS
09470800,USGS,CONUS
09484000,USGS,CONUS
09484550,USGS,CONUS
09484580,USGS,CONUS
09484600,USGS,CONUS
09485000,USGS,CONUS
09487000,USGS,CONUS
09489500,USGS,CONUS
09492400,USGS,CONUS
09497800,USGS,CONUS
09497980,USGS,CONUS
094985005,USGS,CONUS
09498502,USGS,CONUS
09499000,USGS,CONUS
09504420,USGS,CONUS
09505200,USGS,CONUS
09505350,USGS,CONUS
09505800,USGS,CONUS
09507980,USGS,CONUS
09508300,USGS,CONUS
09510200,USGS,CONUS
09512280,USGS,CONUS
09513780,USGS,CONUS
09537200,USGS,CONUS
10011500,USGS,CONUS
10023000,USGS,CONUS
10109000,USGS,CONUS
10128500,USGS,CONUS
10146400,USGS,CONUS
10149400,USGS,CONUS
10166430,USGS,CONUS
10172700,USGS,CONUS
10172860,USGS,CONUS
10172870,USGS,CONUS
10173450,USGS,CONUS
10205030,USGS,CONUS
10234500,USGS,CONUS
10242000,USGS,CONUS
10243260,USGS,CONUS
10243700,USGS,CONUS
10249300,USGS,CONUS
10257600,USGS,CONUS
10258000,USGS,CONUS
10258500,USGS,CONUS
10259000,USGS,CONUS
10259200,USGS,CONUS
10263500,USGS,CONUS
10308200,USGS,CONUS
10308794,USGS,CONUS
10310000,USGS,CONUS
10310500,USGS,CONUS
10316500,USGS,CONUS
10321590,USGS,CONUS
10321940,USGS,CONUS
10329500,USGS,CONUS
103366092,USGS,CONUS
10336645,USGS,CONUS
10336660,USGS,CONUS
10347310,USGS,CONUS
10352500,USGS,CONUS
10396000,USGS,CONUS
11014000,USGS,CONUS
11015000,USGS,CONUS
11023000,USGS,CONUS
11042400,USGS,CONUS
11046300,USGS,CONUS
11046360,USGS,CONUS
11055800,USGS,CONUS
11063510,USGS,CONUS
11098000,USGS,CONUS
11111500,USGS,CONUS
11114495,USGS,CONUS
11118500,USGS,CONUS
11120500,USGS,CONUS
11124500,USGS,CONUS
11129800,USGS,CONUS
11138500,USGS,CONUS
11141280,USGS,CONUS
11143000,USGS,CONUS
11147500,USGS,CONUS
11148900,USGS,CONUS
11151300,USGS,CONUS
11152000,USGS,CONUS
11162500,USGS,CONUS
11162570,USGS,CONUS
11169800,USGS,CONUS
11172945,USGS,CONUS
11173200,USGS,CONUS
11176400,USGS,CONUS
11180500,USGS,CONUS
11180900,USGS,CONUS
11200800,USGS,CONUS
11203580,USGS,CONUS
11224500,USGS,CONUS
11253310,USGS,CONUS
11264500,USGS,CONUS
11274500,USGS,CONUS
11274630,USGS,CONUS
11274790,USGS,CONUS
11284400,USGS,CONUS
11299600,USGS,CONUS
11335000,USGS,CONUS
11374000,USGS,CONUS
11381500,USGS,CONUS
11383500,USGS,CONUS
11402000,USGS,CONUS
11413000,USGS,CONUS
11449500,USGS,CONUS
11451100,USGS,CONUS
11456000,USGS,CONUS
11458000,USGS,CONUS
11461000,USGS,CONUS
11467000,USGS,CONUS
11467200,USGS,CONUS
11467510,USGS,CONUS
11468000,USGS,CONUS
11468500,USGS,CONUS
11468900,USGS,CONUS
11473900,USGS,CONUS
11475800,USGS,CONUS
11476600,USGS,CONUS
11478500,USGS,CONUS
11480390,USGS,CONUS
11481000,USGS,CONUS
11481200,USGS,CONUS
11481500,USGS,CONUS
11521500,USGS,CONUS
11522500,USGS,CONUS
11523200,USGS,CONUS
11525530,USGS,CONUS
11525670,USGS,CONUS
11528700,USGS,CONUS
11532500,USGS,CONUS
12010000,USGS,CONUS
12013500,USGS,CONUS
12020000,USGS,CONUS
12024000,USGS,CONUS
12025700,USGS,CONUS
12035000,USGS,CONUS
12039005,USGS,CONUS
12039500,USGS,CONUS
12040500,USGS,CONUS
12041200,USGS,CONUS
12043000,USGS,CONUS
12043300,USGS,CONUS
12048000,USGS,CONUS
12054000,USGS,CONUS
12056500,USGS,CONUS
12060500,USGS,CONUS
12079000,USGS,CONUS
12082500,USGS,CONUS
12092000,USGS,CONUS
12094000,USGS,CONUS
12095000,USGS,CONUS
12097500,USGS,CONUS
12108500,USGS,CONUS
12114500,USGS,CONUS
12115500,USGS,CONUS
12117000,USGS,CONUS
12120600,USGS,CONUS
12134500,USGS,CONUS
12137290,USGS,CONUS
12141300,USGS,CONUS
12142000,USGS,CONUS
12143400,USGS,CONUS
12145500,USGS,CONUS
12155300,USGS,CONUS
12158040,USGS,CONUS
12167000,USGS,CONUS
12175500,USGS,CONUS
12178100,USGS,CONUS
12179900,USGS,CONUS
12182500,USGS,CONUS
12186000,USGS,CONUS
12201500,USGS,CONUS
12205000,USGS,CONUS
12208000,USGS,CONUS
12210000,USGS,CONUS
12210900,USGS,CONUS
12302055,USGS,CONUS
12304500,USGS,CONUS
12323670,USGS,CONUS
12323710,USGS,CONUS
12324590,USGS,CONUS
12330000,USGS,CONUS
12332000,USGS,CONUS
12354000,USGS,CONUS
12358500,USGS,CONUS
12359800,USGS,CONUS
12363000,USGS,CONUS
12370000,USGS,CONUS
12374250,USGS,CONUS
12377150,USGS,CONUS
12381400,USGS,CONUS
12390700,USGS,CONUS
12392155,USGS,CONUS
12395000,USGS,CONUS
12411000,USGS,CONUS
12413125,USGS,CONUS
12413130,USGS,CONUS
12413370,USGS,CONUS
12413875,USGS,CONUS
12424000,USGS,CONUS
12447383,USGS,CONUS
12447390,USGS,CONUS
12451000,USGS,CONUS
12452800,USGS,CONUS
12452890,USGS,CONUS
12456500,USGS,CONUS
12458000,USGS,CONUS
12488500,USGS,CONUS
13010065,USGS,CONUS
13011500,USGS,CONUS
13011900,USGS,CONUS
13016305,USGS,CONUS
13023000,USGS,CONUS
13032500,USGS,CONUS
13037500,USGS,CONUS
13046995,USGS,CONUS
13083000,USGS,CONUS
13139510,USGS,CONUS
13148500,USGS,CONUS
13161500,USGS,CONUS
13162225,USGS,CONUS
13185000,USGS,CONUS
13186000,USGS,CONUS
13190500,USGS,CONUS
13215000,USGS,CONUS
13217500,USGS,CONUS
13233300,USGS,CONUS
13235000,USGS,CONUS
13237920,USGS,CONUS
13239000,USGS,CONUS
13240000,USGS,CONUS
13247500,USGS,CONUS
13266000,USGS,CONUS
13296500,USGS,CONUS
13297330,USGS,CONUS
13306385,USGS,CONUS
13309220,USGS,CONUS
13310700,USGS,CONUS
13313000,USGS,CONUS
13331500,USGS,CONUS
13334450,USGS,CONUS
13336500,USGS,CONUS
13337000,USGS,CONUS
13338500,USGS,CONUS
13339500,USGS,CONUS
13340600,USGS,CONUS
13346800,USGS,CONUS
13348000,USGS,CONUS
14013000,USGS,CONUS
14020000,USGS,CONUS
14020300,USGS,CONUS
14033500,USGS,CONUS
14036860,USGS,CONUS
14046890,USGS,CONUS
14092750,USGS,CONUS
14096850,USGS,CONUS
14107000,USGS,CONUS
14113200,USGS,CONUS
14137000,USGS,CONUS
14138800,USGS,CONUS
14138870,USGS,CONUS
14138900,USGS,CONUS
14139800,USGS,CONUS
14141500,USGS,CONUS
14150800,USGS,CONUS
14154500,USGS,CONUS
14158500,USGS,CONUS
14158790,USGS,CONUS
14159200,USGS,CONUS
14161500,USGS,CONUS
14166500,USGS,CONUS
14178000,USGS,CONUS
14179000,USGS,CONUS
14180300,USGS,CONUS
14182500,USGS,CONUS
14185000,USGS,CONUS
14185900,USGS,CONUS
14187000,USGS,CONUS
14211400,USGS,CONUS
14211500,USGS,CONUS
14216000,USGS,CONUS
14216500,USGS,CONUS
14219000,USGS,CONUS
14222500,USGS,CONUS
14226500,USGS,CONUS
14236200,USGS,CONUS
14242580,USGS,CONUS
14299800,USGS,CONUS
14301000,USGS,CONUS
14301500,USGS,CONUS
14302480,USGS,CONUS
14305500,USGS,CONUS
14306500,USGS,CONUS
14307620,USGS,CONUS
14308000,USGS,CONUS
14308500,USGS,CONUS
14308990,USGS,CONUS
14309500,USGS,CONUS
14315950,USGS,CONUS
14316455,USGS,CONUS
14316495,USGS,CONUS
14316700,USGS,CONUS
14318000,USGS,CONUS
14325000,USGS,CONUS
14357500,USGS,CONUS
14362250,USGS,CONUS
14375100,USGS,CONUS
14400000,USGS,CONUS
16103000,USGS,Hawaii
16294100,USGS,Hawaii
16704000,USGS,Hawaii
402114105350101,USGS,CONUS
50043800,USGS,Puerto Rico
50075500,USGS,Puerto Rico
50147800,USGS,Puerto Rico
CDR,CADWR,CONUS
CHC,CADWR,CONUS
CLV,CADWR,CONUS
CMF,CADWR,CONUS
CNF,CADWR,CONUS
DCM,CADWR,CONUS
EVA,CADWR,CONUS
ICR,CADWR,CONUS
JBR,CADWR,CONUS
LCB,CADWR,CONUS
LCV,CADWR,CONUS
MCD,CADWR,CONUS
MCK,CADWR,CONUS
MFP,CADWR,CONUS
MPD,CADWR,CONUS
MSS,CADWR,CONUS
MTK,CADWR,CONUS
NFW,CADWR,CONUS
PDR,CADWR,CONUS
RBW,CADWR,CONUS
RCS,CADWR,CONUS
SFH,CADWR,CONUS
SMW,CADWR,CONUS
STO,CADWR,CONUS
TRR,CADWR,CONUS
16010000,USGS,Hawaii
16019000,USGS,Hawaii
16060000,USGS,Hawaii
16068000,USGS,Hawaii
16071500,USGS,Hawaii
16108000,USGS,Hawaii
16200000,USGS,Hawaii
16211600,USGS,Hawaii
16213000,USGS,Hawaii
16226200,USGS,Hawaii
16226400,USGS,Hawaii
16301050,USGS,Hawaii
16304200,USGS,Hawaii
16345000,USGS,Hawaii
16400000,USGS,Hawaii
16414200,USGS,Hawaii
16501200,USGS,Hawaii
16508000,USGS,Hawaii
16518000,USGS,Hawaii
16587000,USGS,Hawaii
16604500,USGS,Hawaii
16614000,USGS,Hawaii
16618000,USGS,Hawaii
16620000,USGS,Hawaii
16717000,USGS,Hawaii
16720000,USGS,Hawaii
16725000,USGS,Hawaii
16770500,USGS,Hawaii
50014800,USGS,Puerto Rico
50025155,USGS,Puerto Rico
50027000,USGS,Puerto Rico
50028000,USGS,Puerto Rico
50028400,USGS,Puerto Rico
50034000,USGS,Puerto Rico
50035000,USGS,Puerto Rico
50038100,USGS,Puerto Rico
50039500,USGS,Puerto Rico
50039995,USGS,Puerto Rico
50043197,USGS,Puerto Rico
50049100,USGS,Puerto Rico
50049620,USGS,Puerto Rico
50050900,USGS,Puerto Rico
50051310,USGS,Puerto Rico
50051800,USGS,Puerto Rico
50053025,USGS,Puerto Rico
50055000,USGS,Puerto Rico
50055225,USGS,Puerto Rico
50055750,USGS,Puerto Rico
50057000,USGS,Puerto Rico
50058350,USGS,Puerto Rico
50059210,USGS,Puerto Rico
50063800,USGS,Puerto Rico
50064200,USGS,Puerto Rico
50065500,USGS,Puerto Rico
50070900,USGS,Puerto Rico
50075000,USGS,Puerto Rico
50076000,USGS,Puerto Rico
50081000,USGS,Puerto Rico
50083500,USGS,Puerto Rico
50085100,USGS,Puerto Rico
50090500,USGS,Puerto Rico
50092000,USGS,Puerto Rico
50093000,USGS,Puerto Rico
50100200,USGS,Puerto Rico
50100450,USGS,Puerto Rico
50106100,USGS,Puerto Rico
50110650,USGS,Puerto Rico
50110900,USGS,Puerto Rico
50113800,USGS,Puerto Rico
50114900,USGS,Puerto Rico
50124200,USGS,Puerto Rico
50129254,USGS,Puerto Rico
50136400,USGS,Puerto Rico
50138000,USGS,Puerto Rico
50144000,USGS,Puerto Rico
08030530,USGS,CONUS
08031005,USGS,CONUS
08031020,USGS,CONUS
08041788,USGS,CONUS
08041790,USGS,CONUS
08041940,USGS,CONUS
08041945,USGS,CONUS
08041970,USGS,CONUS
08042455,USGS,CONUS
08042468,USGS,CONUS
08042470,USGS,CONUS
08042515,USGS,CONUS
08042539,USGS,CONUS
08064990,USGS,CONUS
08065080,USGS,CONUS
08065310,USGS,CONUS
08065340,USGS,CONUS
08065420,USGS,CONUS
08065700,USGS,CONUS
08065820,USGS,CONUS
08065925,USGS,CONUS
08066087,USGS,CONUS
08066138,USGS,CONUS
08066380,USGS,CONUS
08067280,USGS,CONUS
08067505,USGS,CONUS
08067520,USGS,CONUS
08067653,USGS,CONUS
08068020,USGS,CONUS
08068025,USGS,CONUS
08070220,USGS,CONUS
08070550,USGS,CONUS
08070900,USGS,CONUS
08076990,USGS,CONUS
08077110,USGS,CONUS
08077640,USGS,CONUS
08077670,USGS,CONUS
08077888,USGS,CONUS
08078400,USGS,CONUS
08078890,USGS,CONUS
08078910,USGS,CONUS
08078935,USGS,CONUS
08097000,USGS,CONUS
08098295,USGS,CONUS
08100950,USGS,CONUS
08102730,USGS,CONUS
08108705,USGS,CONUS
08108710,USGS,CONUS
08109310,USGS,CONUS
08110520,USGS,CONUS
08111006,USGS,CONUS
08111051,USGS,CONUS
08111056,USGS,CONUS
08111070,USGS,CONUS
08111080,USGS,CONUS
08111085,USGS,CONUS
08111090,USGS,CONUS
08111110,USGS,CONUS
08117375,USGS,CONUS
08117403,USGS,CONUS
08117857,USGS,CONUS
08117858,USGS,CONUS
08162580,USGS,CONUS
08163720,USGS,CONUS
08163880,USGS,CONUS
08163900,USGS,CONUS
08164150,USGS,CONUS
08164200,USGS,CONUS
08164410,USGS,CONUS
08167000,USGS,CONUS
08169778,USGS,CONUS
08173210,USGS,CONUS
08174545,USGS,CONUS
08180990,USGS,CONUS
08189298,USGS,CONUS
08189320,USGS,CONUS
08189520,USGS,CONUS
08189585,USGS,CONUS
08189590,USGS,CONUS
