gageid,agency,domain
01644000,USGS,CONUS
01645000,USGS,CONUS
01649500,USGS,CONUS
01651000,USGS,CONUS
01653600,USGS,CONUS
01661050,USGS,CONUS
01662800,USGS,CONUS
01664000,USGS,CONUS
01665500,USGS,CONUS
01666500,USGS,CONUS
01669000,USGS,CONUS
01669520,USGS,CONUS
01673800,USGS,CONUS
02011400,USGS,CONUS
02011460,USGS,CONUS
02013000,USGS,CONUS
02014000,USGS,CONUS
02015700,USGS,CONUS
02017500,USGS,CONUS
02018500,USGS,CONUS
02024915,USGS,CONUS
02027000,USGS,CONUS
02027500,USGS,CONUS
02028500,USGS,CONUS
02030500,USGS,CONUS
02032640,USGS,CONUS
02046000,USGS,CONUS
02051000,USGS,CONUS
02051500,USGS,CONUS
02053200,USGS,CONUS
02053800,USGS,CONUS
02055100,USGS,CONUS
02056900,USGS,CONUS
02059500,USGS,CONUS
02065500,USGS,CONUS
02069700,USGS,CONUS
02070000,USGS,CONUS
02070500,USGS,CONUS
02074500,USGS,CONUS
02077200,USGS,CONUS
02079640,USGS,CONUS
0208111310,USGS,CONUS
02081500,USGS,CONUS
02082770,USGS,CONUS
02082950,USGS,CONUS
02084160,USGS,CONUS
02087359,USGS,CONUS
02091000,USGS,CONUS
02092500,USGS,CONUS
0209399200,USGS,CONUS
02095000,USGS,CONUS
02108000,USGS,CONUS
02110500,USGS,CONUS
02111180,USGS,CONUS
02111500,USGS,CONUS
02118500,USGS,CONUS
0212467595,USGS,CONUS
02128000,USGS,CONUS
02132320,USGS,CONUS
02137727,USGS,CONUS
02140991,USGS,CONUS
02142000,USGS,CONUS
0214269560,USGS,CONUS
02143000,USGS,CONUS
02143040,USGS,CONUS
021459367,USGS,CONUS
02147500,USGS,CONUS
02149000,USGS,CONUS
02152100,USGS,CONUS
02157470,USGS,CONUS
02160381,USGS,CONUS
021652801,USGS,CONUS
02167450,USGS,CONUS
02177000,USGS,CONUS
02178400,USGS,CONUS
02192500,USGS,CONUS
02193340,USGS,CONUS
02196000,USGS,CONUS
02198100,USGS,CONUS
02198690,USGS,CONUS
02201000,USGS,CONUS
02202600,USGS,CONUS
02204130,USGS,CONUS
02207385,USGS,CONUS
02208150,USGS,CONUS
02212600,USGS,CONUS
02215100,USGS,CONUS
02216180,USGS,CONUS
02217475,USGS,CONUS
02219000,USGS,CONUS
02221525,USGS,CONUS
02228500,USGS,CONUS
02231342,USGS,CONUS
02235200,USGS,CONUS
02236500,USGS,CONUS
02245500,USGS,CONUS
02247510,USGS,CONUS
02266200,USGS,CONUS
02266480,USGS,CONUS
02296500,USGS,CONUS
02297155,USGS,CONUS
02298123,USGS,CONUS
02298488,USGS,CONUS
02299472,USGS,CONUS
02299950,USGS,CONUS
02300033,USGS,CONUS
02300700,USGS,CONUS
02301990,USGS,CONUS
02303350,USGS,CONUS
02303420,USGS,CONUS
02307359,USGS,CONUS
02310525,USGS,CONUS
02310947,USGS,CONUS
02312200,USGS,CONUS
02314500,USGS,CONUS
023177483,USGS,CONUS
02320700,USGS,CONUS
02321000,USGS,CONUS
02324000,USGS,CONUS
02324400,USGS,CONUS
02326000,USGS,CONUS
02326900,USGS,CONUS
02327100,USGS,CONUS
02330400,USGS,CONUS
02330450,USGS,CONUS
02331000,USGS,CONUS
02335580,USGS,CONUS
02335870,USGS,CONUS
02336120,USGS,CONUS
02336152,USGS,CONUS
02336526,USGS,CONUS
02336910,USGS,CONUS
02336968,USGS,CONUS
02338523,USGS,CONUS
02339495,USGS,CONUS
02342850,USGS,CONUS
02343225,USGS,CONUS
02343940,USGS,CONUS
02344620,USGS,CONUS
02349605,USGS,CONUS
02349900,USGS,CONUS
02350600,USGS,CONUS
02359500,USGS,CONUS
02361000,USGS,CONUS
02362240,USGS,CONUS
02363000,USGS,CONUS
02365470,USGS,CONUS
02365769,USGS,CONUS
02366000,USGS,CONUS
02366996,USGS,CONUS
02369800,USGS,CONUS
02370500,USGS,CONUS
02371500,USGS,CONUS
02372250,USGS,CONUS
02373000,USGS,CONUS
02374500,USGS,CONUS
02374745,USGS,CONUS
02374950,USGS,CONUS
